Altium Designer Pick and Place Locations
C:\Users\delta\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       19/01/23
Time:       22:08
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                     Layer       Footprint                                  Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                              
USB        TYPE-C-31-M-12              TopLayer    HRO_Electronics_TYPE-C-31-M-12-Footprint-1 9.0000       59.7875      180      "250mA 1 16 Female Type-C SMD USB Connectors ROHS"                                                                                                                       
U2         LP2985-33DBVR               TopLayer    PCB-9w08p7pn23yr1dz22wph-1                 17.9000      60.3000      0        "Ldo Voltage Regulator, 3.3V, 150MA, 5-SOT-23, Full Reel"                                                                                                                
U1         STM32F072C8T6TR             TopLayer    STM-LQFP48_M                               9.0000       48.4500      135      "STM32F072C8T6TR 48 pin  LQFP48 7x7 mm  ARM MCU, STM32 Family STM32F0 Series Microcontrollers, ARM Cortex-M0, 32bit, 48 MHz, 128 KB, external XTAL must be used for usb" 
S9         SSSS810701                  BottomLayer SSSS810701                                 26.9360      61.9620      0        "Switch Slide SP Side Slide 0.3A 5VDC 10000Cycles Gull Wing SMD T/R"                                                                                                     
S8         MX1A-G1NA                   TopLayer    Cherry_MX1A-G1NA                           84.6750      33.1150      0        "Cherry MX RGB Brown Switch, SPST-NO, 10mA, 12VDC"                                                                                                                       
S7         MX1A-G1NA                   TopLayer    Cherry_MX1A-G1NA                           65.6250      33.1150      0        "Cherry MX RGB Brown Switch, SPST-NO, 10mA, 12VDC"                                                                                                                       
S6         MX1A-G1NA                   TopLayer    Cherry_MX1A-G1NA                           46.5750      33.1150      0        "Cherry MX RGB Brown Switch, SPST-NO, 10mA, 12VDC"                                                                                                                       
S5         MX1A-G1NA                   TopLayer    Cherry_MX1A-G1NA                           27.5250      33.1150      0        "Cherry MX RGB Brown Switch, SPST-NO, 10mA, 12VDC"                                                                                                                       
S4         MX1A-G1NA                   TopLayer    Cherry_MX1A-G1NA                           84.6750      14.0650      0        "Cherry MX RGB Brown Switch, SPST-NO, 10mA, 12VDC"                                                                                                                       
S3         MX1A-G1NA                   TopLayer    Cherry_MX1A-G1NA                           65.6250      14.0650      0        "Cherry MX RGB Brown Switch, SPST-NO, 10mA, 12VDC"                                                                                                                       
